key,en,fr,es,de
eyeRythymsTitle,Closed eye rhythms,Yeux fermés et rythme alpha,Ritmo alfa con ojos cerrados,Rhythmus bei geschlossenen Augen
eyeRythymsDescription,"When the eyes are closed, there is often a large increase in rhythmic brain activity in the range of 8-13 cycles per second (Hz). These alpha waves were one of the first discoveries that Hans Berger made with EEG. The ability to detect alpha waves when the eyes are closed varies greatly from person to person, however. Don\'t feel bad if you can\'t see them!","Quand on ferme les yeux, une augmentation importante de l\'activité cérébrale peut être observée entre 8 et 13 cycles par seconde (Hz). Ce rythme, appelé onde alpha, a été une des premières découvertes de Hans Berger avec l\'EEG. Toutefois, la facilité avec laquelle les ondes alpha peuvent être détectées varie d\'une personne à l\'autre. Ne vous en faites pas si vous ne les voyez pas maintenant!","Cuando cierras tus ojos, hay un incremento en la actividad rítmica cerebral en el rango de 8 - 13 ciclos por segundo (Hz). Estas ondas cerebrales, denominadas alfa, fueron uno de los primeros descubrimientos que Hans Berger hizo con EEG. La habilidad para detectar ondas alfa cuando los ojos están cerrados varía de persona a persona. ¡No te sientas mal si no puedes verlas!","Wenn die Augen geschlossen sind, entsteht oftmals ein starker Anstieg rhythmischer Hirnaktivität im Bereich von 8-13 Zyklen pro Sekunde (Hz). Diese Alphawellen waren eine der ersten Entdeckungen von Hans Berger mittels seines EEGs. Die Fähigkeit, Alphawellen zu erkennen, sobald die Augen geschlossen sind, schwankt jedoch stark von Person zu Person. Kein Grund traurig zu sein, falls du keine erkennen kannst!"
,,,,
// slide-01.js offline,// slide-01.js offline,// slide-01.js offline,// slide-01.js offline,// slide-01.js offline
theBrainProduces,The brain produces electricity,Le cerveau produit de l\'électricité.,El cerebro produce electricidad.,Das Gehirn produziert Elektrizität.
thisExample,This is an example of,Voici un example de données d’,Este es un ejemplo de,Dies ist ein Beispiel für
dataShowing,"data, showing the electrical activity of the brain",qui représentent l\'activité électrique du cerveau.,"datos, mostrando la actividad eléctrica del cerebro","daten, zeigt die elektrische Aktivität des Gehirns"
noiseInSignal,Noise in the EEG signal,Bruit dans le signal EEG,Ruido en la señal EEG, Störungen im EEG-Signal
differentTypes,The EEG is subject to many different types of,L\'EEG est affecté par différents types de,El EEG se ve afectado por,Das EEG ist empfindlich für
blinksExample,"Blinks, for example, produce large fluctuations in the signal due to ","Les clignements de yeux, par exemple, produisent de grandes fluctuations du signal en raison du mouvement des globes oculaires","Los parpadeos, por ejemplo, producen grandes fluctuaciones en la señal debido a la actividad muscular","Blinkt, zum Beispiel, erzeugen große Schwankungen im Signal aufgrund der Muskelaktivität"
uninformativeRaw,"For the most part, raw EEG data is pretty uninformative","Sous leur forme brute, les données d\'EEG sont assez peu informatives",Los datos crudos del EEG son bastante poco informativos,Raw EEG daten sind ziemlich uninformativ
needsProcessing,"With processing, EEG can give clues to overall brain activity, but it is not capable of","Avec un peu de traitement, l\'EEG peut nous renseigner sur l\'activité globale du cerveau, mais ne nous permet pas de ","Con el procesamiento, el EEG puede dar pistas sobre la actividad cerebral general, pero no es capaz de","Mit der Verarbeitung kann EEG Hinweise auf die gesamte Hirnaktivität geben, aber es ist nicht fähig"
,,,,
//slide-02.js,//slide-02.js,//slide-02.js,//slide-02.js,//slide-02.js
physiologySlideTitle,PHYSIOLOGY,PHYSIOLOGIE,FISIOLOGÍA,PHYSIOLOGIE
EEGComeFrom,Where does the EEG signal come from?,D\'où provient le signal d\'EEG?,¿Cuál es el origen de la señal de EEG?,Woher kommt das EEG-Signal?
EEGMeasures,The EEG measures the electrical activity that occurs when,L\'EEG mesure l\'activité électrique qui survient lorsque les,La señal de EEG registra la señal eléctrica que ocurre cuando,"Das EEG misst die elektrische Aktivität, welche ensteht, wenn "
neuronsLink,neurons,neurones,las neuronas,Neuronen
receiveAndTransmit,receive and transmit information.,reçoivent et transmettent de l\'information.,reciben y transmiten información.,Informationen empfangen und übermitteln.
organizedNeural,Organized neural activity produces electric fields.,L\'activité neuronale produit des champs électriques.,La actividad neuronal organizada produce campos eléctricos.,Unisone Neuronenaktivität schafft elektrische Felder
whenBillionsOfNeurons,When billions of neurons,Quand des milliards de neurones,Cuando miles de millones de neuronas,Wenn Milliarden von Neuronen
workTogetherLink,work together,travaillent ensemble,trabajan juntas,zusammenarbeiten
produceThoughts,"to produce thoughts, feelings, and behaviours, their electricity can be detected by electrodes on the scalp.","pour générent nos pensées, sentiments et comportements, l\'électricté qu\'ils produisent peut être détectée sur le scalp."," para producir pensamientos, sentimientos y comportamientos, su actividad eléctrica es detectada por los electrodos sobre la cabeza.","um Gedanken, Gefühle und Verhalten zu schaffen, kann diese Elektrizität von Elektroden am Skalp gemessen werden."
EEGDetects,"EEG detects the ""state"" of the brain.",L\'EEG détecte l\'«état» du cerveau.,El EEG detecta el estado general del cerebro.,EEG erkennt den “Zustand” des Gehirns.
organizedElectricalActivity,"This organized electrical activity varies between different brain states, such as","Cette activité électrique organisée varie d\'un état mental à un autre, par exemple entre le","Esta actividad organizada eléctrica varía para diferentes estados cerebrales, por ejemplo","Solche unisone elektrische Aktivität variiert zwischen verschiedenen Hirnzuständen, wie zum Beispiel"
sleepWakefulnessLink,sleep and wakefulness.,sommeil et l\'éveil.,si estás dormido o despierto.,Schlaf und Wachsamkeit
neuralBasisEEGTitle,Neural basis of EEG.,Origine neuronale de l\'EEG,Las bases neuronales del EEG.,Neurale Basis eines EEG.
neuralBasisEEGDescription1,"When synapses are activated on a neuron\'s dendrites, a small electric field (dipole) is created along the body of the neuron due to the difference in charge between those dendrites and the axon. This electric field only lasts for a few milliseconds.","Lorsque les synapses d\'un neurone s\'activent, un petit champ électrique (dipôle) est généré dans la direction du corps cellulaire, dû à la différence de charge entre les dendrites et l\'axone du neurone. Ce champ électrique ne dure que quelques millisecondes.","Cuando las sinapsis en las dendritas de una neurona se activan, un pequeño campo eléctrico (dipolo) se crea a lo largo del cuerpo de la neurona debido a la diferencia de carga eléctrica entre las dendritas y el axón. Este campo eléctrico dura un par de milisegundos.","Wenn Synapsen an den Dendriten von Neuronen aktiviert werden, entsteht ein kleines elektrisches Feld (Dipol) entlang dem Körper des Neurons, da die Dendriten und das Axon unterschiedlich geladen sind. Dieses Feld besteht nur für wenige Millisekunden."
neuralBasisEEGDescription2,"The electric fields produced by single neurons are vanishingly small. However, when large numbers of cortical neurons fire rhythmically, their activity can produce electric fields that are large enough to cross the surface of the skull. This process is influenced by many factors, including depth, orientation, and subtype of neurons, and is a topic of ongoing research.","Les champs électriques que génère un seul neurone sont infimes. Toutefois, quand un grand nombre de neurones corticaux s\'activent à l\'unison, leur activité combinée peut engendrer des champs électriques suffisamment importants pour être mesurés à la surface du crâne. Ce processus est influencé par plusieurs facteurs, incluant la profondeur, l\'orientation et le sous-type de neurones, et fait l\'objet de nombreuses recherches.","El campo eléctrico producido por una neurona es diminuto. No obstante, cuando muchas neuronas corticales disparan de manera rítmica, su actividad puede producir campos eléctricos que son lo suficientemente grandes para cruzar la superficie del cráneo. Este proceso depende de diferentes factores, incluyendo la profundidad, la orientación, el subtipo de neurona... y es un tema actual de investigación.","Die elektrischen Felder, erzeugt von einzelnen Neuronen, sind verschwindend klein. Wenn jedoch größere Mengen von kortikalen Neuronen rhythmisch feuern, entsteht ein Potential, welches groß genug ist, um die Schädelwand zu durchdringen. Dieser Prozess ist von vielerlei Faktoren abhängig, wie zum Beispiel der Tiefe, Orientation, sowie der Klasse des Neurons, und Thema von andauernder Forschungsanstrengungen."
brainStatesTitle,Brain states,États mentaux,Estados cerebrales,Hirnzustände
brainStatesDescription,"During sleep our brains produce very different kinds of rhythmic electrical activity. When awake, brain rhythms tend to be rapidly-changing and irregular, while slowly-changing, organized rhythms become more dominant as we fall asleep and pass through the multiple sleep stages. \n Certain emotions and cognitive processes have also been linked with characteristic patterns of rhythmic activity that can be identified with EEG.","Lors du sommeil, l\'activité électrique de notre cerveau varie grandement. Lorsque nous sommes éveillés, l\'activité rythmique de notre cerveau change rapidement et de manière irrégulière. D\'autre part, lorsque nous dormons et au fur et à mesure que nous passons à traver les différentes phases du sommeil, ces rythmes synchronisés deviennent plus dominant. \n Certaines émotions et certains processus cognitifs générent aussi des rythmes caractéristiques qui peuvent être identifiés avec l\'EEG. ","Mientras dormimos, nuestros cerebros producen un tipo particular de actividad eléctrica rítmica. Cuando estamos despiertos, los patrones rítmicos cerebrales tienden a ser dinámicos e irregulares, mientras que ritmos lentos y organizados se vuelven dominantes cuando nos vamos quedando dormidos y pasamos por las diferentes etapas del sueño. \n Ciertas emociones y procesos cognitivos también han sido asociados con patrones característicos de actividad rítmica cerebral que pueden ser registrados con el EEG.","Während dem Schlaf produziert unser Gehirn grundverschiedene rhythmische elektrische Aktivitäten. Während im Wachzustand die Rhythmen zumeist im schnellen Wechsel und unregelmäßig auftreten, dominieren während der verschiedenen Schlafzustände langsam wechselnde und unisone Rhythmen. \n Bestimmte Emotionen und kognitive Prozesse wurden ebenfalls mit charakteristischen Mustern rhythmischer Aktivität in Verbindung gebracht und können mittels EEG identifiziert werden."
,,,,
//slide-03.js,//slide-03.js,//slide-03.js,//slide-03.js,//slide-03.js
hardwareSlideTitle,HARDWARE,MATÉRIEL,HARDWARE,HARDWARE
howDoesEEGDeviceWork,How does an EEG device work?,Comment fonctionne un appareil d\'EEG?,¿Cómo funciona un dispositivo EEG?,Wie funktioiniert ein EEG-Gerät?
electricalActivitySensed,The electrical activity of the brain is sensed by,L\'activité électrique du cerveau est captée par des,La actividad eléctrica del cerebro es detectada por,Die elektrische Aktivität des Gehirns wird von
electrodesLink,electrodes,électrodes,electrodos,Elektroden
placedOnScalp,placed on the scalp.,placées sur le scalp.,situados sobre el cuero cabelludo.,"wahrgenommen, die am Schädel plaziert werden."
deviceHas4Electrodes,This device has 4 electrodes.,L\'appareil que vous portez dispose de 4 électrodes.,Este dispositivo tiene 4 electrodos.,Dieses Gerät besitzt 4 Elektroden.
touchTheHeadDiagram,Touch the head diagram to view the signal at each electrode. Scientists have,Appuyez sur le diagramme afin de voir le signal produit par les autres électrodes. Chaque électrode a un,Toca el diagrama de la cabeza para ver la señal en cada electrodo. Los científicos han ,Berühre das Diagramm des Kopfes um das Signal an den jeweiligen Elektroden zu einzusehen. Wissenschaftler haben
namesLink,names,nom,asignado nombres,namen
forEachElectrode,for each of these electrodes.,suivant une nomenclature standardisée., a cada uno de estos electrodos.,für jede dieser Elektroden.
whatElectrodesMeasure,What do electrodes measure?,Qu\'est-ce que les électrodes mesurent?,¿Qué registran los electrodos?,Was genau messen die Elektroden?
voltageFluctuations,Each electrode detects voltage fluctuations that are compared to a,Chaque électrode détecte les changements de potentiel électrique en comparaison à une,Cada electrodo detecta fluctuaciones de voltaje que son comparadas con un,Jede Elektrode misst Fluktuationen in elektrischer Spannung die mit einer
referenceElectrodeLink,reference electrode,électrode de référence,electrodo de referencia,Referenzelektrode
amplified1Mil,"and then amplified around 1,000,000 times.",puis amplifiées près d\'un million de fois.,"y son amplificadas con una ganancia de hasta 1,000,000 de veces.",verglichen und um etwa den Faktor 1.000.000 verstärkt werden.
electrodesTitle,Electrodes,Électrodes,Electrodos,Elektroden
electrodesDescription,An electrode is a conductor through which electricity flows. The device you are wearing (Muse) uses dry electrodes that don\'t require conductive gel and can be placed directly on the skin.,"Une électrode est un conducteur à travers lequel l\'électricité peut circuler. L\'appareil que vous portez (Muse) utilise des électrodes sèches qui ne requièrent pas de gel conducteur, et peuvent ainsi être placées directement sur la peau.",Un electrodo es un conductor a través del cual la electricidad fluye. El dispositivo que traes puesto (Muse) utiliza electrodos secos que no requieren gel conductor y pueden ser colocados directamente sobre la piel.,"Eine Elektrode ist ein Leiter durch welchen elektrische Spannung fließt. Das Gerät, welches du momentan trägst (Muse) benutzt Trockenelektroden welche keinerlei leitendes Gel benötigen und direkt auf der Haut platziert werden können."
electrodeNamingTitle,Electrode naming conventions,Nomenclature des électrodes,Nomenclatura de los electrodos,Namenskonvention für Elektroden
electrodeNamingDescription,"EEG electrodes are typically identified by a combination of a letter and a number. The letter indicates the part of the head where the electrode is located (F for frontal, C for central, etc.). The number indicates distance from the midline of the head with even numbers on the right hemisphere and odd numbers on the left.","Les électrodes d\'EEG sont typiquement identifiées par la combinaison d\'une lettre et d\'un nombre. La lettre indique la partie de la tête où l\'électrode se trouve (F pour frontal, C pour central, etc.). Le nombre indique la distance depuis la ligne médiane de la tête, en plus d\'indiquer de quel côté l\'électrode se trouve (hémisphère droit pour les nombres impairs, hémisphère gauche pour les nombres pairs).","Los electrodos típicamente se identifican con la combinación de una letra y un número. La letra indica en qué parte de la cabeza está ubicado el electrodo (F para frontal, C para central...). El número indica la distancia de la línea media de la cabeza utilizando números pares para el hemisferio derecho y números impares para el izquierdo.","EEG-Elektroden werden typischerweise mittels einer Kombination aus einem Buchstaben und einer Zahl beschrieben. Der Buchstabe deutet auf die respektive Platzierung der Elektrode am Kopf hin (F für “Frontal”, C für “Central”, etc.). Die Zahl deutet auf die Entfernung von der Scheitellinie des Kopfes hin, wobei gerade Zahlen auf der rechten, und ungerade Zahlen auf der linken Hemisphere platziert werden."
referencingTitle,Referencing,Référençage,Referencia,Referenzierung
referencingDescription,"Each electrode\'s signal reflects the difference in electrical potential between that electrode and a seperate reference electrode. Thus, data gathered from EEG devices with different reference electrode placement can vary considerably. With Muse, the reference is located on the front of the forehead.","Le signal mesuré par chaque électrode reflète la différence de potentiel électrique entre cette électrode et une seconde électrode dite «de référence». Ainsi, les données obtenues avec des appareils d\'EEG dont la référence est différente peuvent varier considérablement. Avec le Muse, la référence est située au milieu du front.","La señal de cada electrodo refleja la diferencia en potencial eléctrico entre ese electrodo y otro electrodo de referencia. Por lo tanto, los datos registrados con dispositivos EEG utilizando diferentes posiciones de electrodo de referencia pueden variar considerablemente. En el dispositivo Muse el electrodo de referencia se localiza en la frente.",Das Signal jeder Elektrode spiegelt die Differenz zwischen dem elektrischen Potenzial der Elektrode und der Referenzelektrode wieder. Deshalb können die Daten von EEG-Geräten mit unterschiedlich platzierten Referenzelektroden stark variieren. Bei Muse ist die Referenz in der Mitte der Stirn platziert.
,,,,
//slide-03.js offline,//slide-03.js offline,//slide-03.js offline,//slide-03.js offline,//slide-03.js offline
devicesHaveElectrodes,EEG devices have multiple electrodes,Les appareils EEG ont plusieurs électrodes,Los dispositivos EEG tienen múltiples electrodos,EEG-Geräte haben mehrere Elektroden
,,,,
//slide-04.js,//slide-04.js,//slide-04.js,//slide-04.js,//slide-04.js
filteringSlideTitle,FILTERING,FILTRAGE,FILTRADO,FILTER
raw,Raw,Brut,Señal sin procesar,Roh
bandPassFilter,Band-Pass Filter,Filtre passe-bande,Filtro paso banda,Bandpass-Filter
meaningfulData,How do we get meaningful data from the EEG?,Comment obtient-on des données d\'EEG pertinentes et utiles?,¿Cómo obtener información relevante de la señal EEG?,Wie können wir aussagekräftige Daten vom EEG extrahieren?
firstEEGMust,"First, the EEG must be","Tout d\'abord, l\'EEG doit être","Para empezar, el EEG debe ser",Zuerst muss das EEG
filteredLink,filtered,filtré,filtrado,gefiltert
toReduceSignals,to reduce signals that don\'t come from the brain.,afin de réduire l\'importance des signaux qui ne proviennent pas du cerveau.,para reducir las señales que no vienen del cerebro,"werden, um Signale zu eliminieren, die nicht vom Gehirn stammen."
filtersTitle,Filters,Filtres,Filtros,Filter
filtersDescription,"Filters remove frequencies that sit outside the spectrum of signals produced by the brain, getting rid of some of the noise produced by muscles or environmental electrical activity. Filters are normally either high-pass (removing low frequencies), low-pass (removing high frequencies) or band-pass (allowing only a specific band of frequencies through). Here, we have implemented a band-pass filter that removes frequencies outside the range of those typically produced by the brain.","Les filtres atténuent les fréquences se trouvant à l\'extérieur du spectre des signaux provenant du cerveau, ce qui permet de se débarrasser en partie du bruit produit par les muscles et l\'activité électrique environnante. Les filtres sont soit passe-haut (atténuent les basses fréquences), passe-bas (atténuent les hautes fréquences) ou passe-bande (laissent passer une bande de fréquences spécifique). Dans notre cas, nous avons implémenté un filtre passe-bande qui atténue les fréquences en dehors de celles typiquement générées par le cerveau.","Los filtros remueven frecuencias que están situadas fuera de un espectro de señales producidas por el cerebro, reduciendo el ruido producido por la actividad muscular o la actividad eléctrica del ambiente. Los filtros se clasifican normalmente como paso altas (remueve frecuencias bajas), paso bajas (remueve frecuencias altas) o paso banda (deja un rango específico de frecuencias y remueve todo lo demás). Aquí hemos implementado un filtro paso banda que remueve todas las frecuencias producidas fuera del rango típico de la actividad cerebral.","Filter entfernen Frequenzen, die außerhalb des Signalspektrums liegen, welches von Hirnaktivitäten erzeugt wird. Filter entfernen damit Teile der Signalstörungen, die durch Muskelkontraktion oder periphere elektrische Aktivität induziert werden. In der Regel kommen entweder Hochpass-Filter (entfernen niedrige Frequenzen), Tiefpass-Filter (entfernen hohe Frequenzen) oder Bandpass-Filter (erlauben nur bestimmte Frequenzbänder) zum Einsatz. Hier haben wir einen Bandpass-Filter implementiert, der Frequenzen außerhalb des typischen Spektrums von Hirnwellen entfernt."
,,,,
//slide-05.js,//slide-05.js,//slide-05.js,//slide-05.js,//slide-05.js
epochingSlideTitle,EPOCHING,EXTRACTION D\'ÉPOQUES,DIVISIÓN EN ÉPOCAS,EINTEILUNG IN EPOCHEN
chunkingSignal,Chunking the signal,Segmenter le signal,Segmentando la señal,Einteilen des Signals in Epochen
EEGDividedSegments,"Next, the EEG is divided into small segments or","Ensuite, l\'EEG est divisé en petits segments appelés",El siguiente paso es dividir la señal de EEG en segmentos cortos o,Anschließend erfolgt die Unterteilung des EEG in kleinere Segmente oder
epochsLink,epochs,époques,épocas,epochen
epochsTitle,Epochs,Époques,Épocas,Epochen
